ASX LISTED COMPANIES AS AT THU OCT 23 00:01:24 EST 2014
1-PAGE LIMITED,1PG.AX,MATERIALS
1300 SMILES LIMITED,ONT.AX,HEALTH CARE EQUIPMENT & SERVICES
360 CAPITAL GROUP,TGP.AX,REAL ESTATE
360 CAPITAL INDUSTRIAL FUND,TIX.AX,REAL ESTATE
360 CAPITAL OFFICE FUND,TOF.AX,REAL ESTATE
3D OIL LIMITED,TDO.AX,ENERGY
3D RESOURCES LIMITED,DDD.AX,MATERIALS
3P LEARNING LIMITED..,3PL.AX,CONSUMER SERVICES
8COMMON LIMITED,8CO.AX,SOFTWARE & SERVICES
99 WUXIAN LIMITED,NNW.AX,RETAILING
A-CAP RESOURCES LIMITED,ACB.AX,ENERGY
A1 CONSOLIDATED GOLD LIMITED,AYC.AX,MATERIALS
A1 INVESTMENTS & RESOURCES LTD,AYI.AX,DIVERSIFIED FINANCIALS
AAT CORPORATION LIMITED,AAT.AX,TECHNOLOGY HARDWARE & EQUIPMENT
ABACUS PROPERTY GROUP,ABP.AX,REAL ESTATE
ABERDEEN LEADERS LIMITED,ALR.AX,DIVERSIFIED FINANCIALS
ABM RESOURCES NL,ABU.AX,MATERIALS
ACACIA COAL LIMITED,AJC.AX,ENERGY
ACADEMIES AUSTRALASIA GROUP LIMITED,AKG.AX,CONSUMER SERVICES
ACCENT RESOURCES NL,ACS.AX,MATERIALS
ACORN CAPITAL INVESTMENT FUND LIMITED,ACQ.AX,NOT APPLIC
ACRUX LIMITED,ACR.AX,PHARMACEUTICALS & BIOTECHNOLOGY
ACTINOGEN LIMITED,ACW.AX,MATERIALS
ACTIVEX LIMITED,AIV.AX,MATERIALS
ACUVAX LIMITED,ACU.AX,PHARMACEUTICALS & BIOTECHNOLOGY
ADACEL TECHNOLOGIES LIMITED,ADA.AX,SOFTWARE & SERVICES
ADAVALE RESOURCES LIMITED,ADD.AX,ENERGY
ADCORP AUSTRALIA LIMITED,AAU.AX,MEDIA
ADELAIDE BRIGHTON LIMITED,ABC.AX,MATERIALS
ADELAIDE RESOURCES LIMITED,ADN.AX,MATERIALS
ADG GLOBAL SUPPLY LIMITED.,ADQ.AX,CAPITAL GOODS
ADITYA BIRLA MINERALS LIMITED,ABY.AX,MATERIALS
ADMEDUS LTD,AHZ.AX,HEALTH CARE EQUIPMENT & SERVICES
ADMIRALTY RESOURCES NL.,ADY.AX,MATERIALS
